"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk [[insuranϲe]] SINGAPORE : The government is extending third-party war risk [[secure]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.012731730937957764,0.7153400182723999,2,0,2,62,"Successful"
"Mills Grabs \$[[1B]] Portfolio; [[Taubman]] Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine [[malls]] owned by [[General]] [[Motors]] [[Asset]] [[Management]] Corp. for just over \$1 billion, [[creating]] a new [[joint]] venture between the groups. The deal will extend ...","Mills Grabs \$[[lB]] Portfolio; [[Taubｍan]] Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine [[mlals]] owned by [[Generals]] [[Motorѕ]] [[Aset]] [[Governance]] Corp. for just over \$1 billion, [[create]] a new [[jonit]] venture between the groups. The deal will extend ...",0.002469480037689209,0.5768394470214844,2,3,2,154,"Successful"
"Sun to shine spotlight on [[new]] operating [[system]], [[Solaris]] [[10]] [[Sun]] Microsystems SUNW is [[expected]] to [[release]] a [[new]] [[version]] of its operating system today - a [[big]] part of the struggling computer maker #39;s plan to save itself.","Sun to shine spotlight on [[nuevo]] operating [[systems]], [[Mandrake]] [[l0]] [[Soleil]] Microsystems SUNW is [[foreseen]] to [[releaѕe]] a [[nw]] [[vers]] [[ion]] of its operating system today - a [[grande]] part of the struggling computer maker #39;s plan to save itself.",0.010750412940979004,0.035191893577575684,3,3,3,135,"Failed"
"Fed [[Cup]] all [[tied]] up FRANCE #[[39]];[[S]] [[Russian-born]] Tatiana [[Golovin]] [[left]] the Fed [[Cup]] [[final]] hanging in the [[balance]] [[today]] as she [[beat]] [[Russia]] #[[39]];s [[US]] [[Open]] [[champion]] Svetlana Kuznetsova 6-4, 6-1 to [[level]] the tie at 2-2 and [[take]] it to the [[final]] [[doubles]] match.","Fed [[Cսp]] all [[tie]] up FRANCE #[[3৭]];[[n]] [[Rusѕian-born]] Tatiana [[Golvoin]] [[exited]] the Fed [[Cսp]] [[finaⅼ]] hanging in the [[balancing]] [[toԁay]] as she [[overpowers]] [[Rusѕia]] #[[3৭]];s [[NOUS]] [[Opеn]] [[champioո]] Svetlana Kuznetsova 6-4, 6-1 to [[levels]] the tie at 2-2 and [[takes]] it to the [[finl]] [[doubly]] match.",0.0008314847946166992,0.08495581150054932,1,1,1,213,"Failed"
"Nokia [[announces]] [[Near]] [[Field]] [[Communication]] products With the Nokia [[NFC]] ([[Near]] [[Field]] Communication) [[shell]] on their [[phone]], consumers will be able to access a variety of services and [[exchange]] information with a [[simple]] [[touch]] gesture.","Nokia [[annoսnces]] [[Nearly]] [[Area]] [[Imparting]] products With the Nokia [[N]] [[FC]] ([[Closest]] [[Area]] Communication) [[sell]] on their [[phones]], consumers will be able to access a variety of services and [[shares]] information with a [[mere]] [[toque]] gesture.",0.008052408695220947,0.04416227340698242,3,3,3,168,"Failed"
"Today in [[Athens]] [[Leontien]] [[Zijlaard-van]] [[Moorsel]] of the [[Netherlands]] wipes a [[tear]] after [[winning]] the [[gold]] [[medal]] in the [[women]] #[[39]];s [[road]] cycling individual time trial at the [[Vouliagmeni]] [[Olympic]] Centre in Athens on Wednesday. ","Today in [[Athеns]] [[Leon𝚝ien]] [[Zijlaard˗van]] [[Mоorsel]] of the [[Netհerlands]] wipes a [[𝚝ear]] after [[wiոning]] the [[gilded]] [[decorations]] in the [[wo]] [[men]] #[[3৭]];s [[route]] cycling individual time trial at the [[Vouliagｍeni]] [[Olympics]] Centre in Athens on Wednesday. ",0.0008934140205383301,0.02102142572402954,1,1,1,168,"Failed"
"President Hu [[congratulates]] [[Sihamoni]] on [[becoming]] king of [[Cambodia]] [[Chinese]] [[President]] Hu Jintao [[sent]] a message to [[Norodom]] [[Sihamoni]] on [[Thursday]] to congratulate him on his [[election]] as the [[king]] of [[Cambodia]].","President Hu [[congratսlates]] [[Sihaｍoni]] on [[becom]] [[ing]] king of [[CamЬodia]] [[Chino]] [[Chairperson]] Hu Jintao [[ѕent]] a message to [[Norodoｍ]] [[Siհamoni]] on [[Yesterday]] to congratulate him on his [[eleciton]] as the [[kіng]] of [[Cambоdia]].",0.0015633702278137207,0.45740169286727905,0,0,0,149,"Failed"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.7401055097579956,0.7401055097579956,2,2,3,1,"Skipped"
"[[Afghans]] rocky [[road]] to [[historic]] [[elections]] [[KALAKAN]], [[Afghanistan]] There were toothless [[old]] men, turbaned and gray-bearded, and young men not yet old enough to shave. There were mullahs and mujahedeen, and the presidential candidate #39;s [[3-year-old]] son.","[[Afghanѕ]] rocky [[paths]] to [[historical]] [[electionѕ]] [[KALA]] [[KAN]], [[Afghanis𝚝an]] There were toothless [[оld]] men, turbaned and gray-bearded, and young men not yet old enough to shave. There were mullahs and mujahedeen, and the presidential candidate #39;s [[3-уear-old]] son.",0.0006858110427856445,0.5424991846084595,0,3,0,123,"Successful"
"Oil Prices [[Set]] a New Record [[Above]] \$[[50]]  [[SINGAPORE]] ([[Reuters]]) - [[Oil]] prices set a new record above \$50  a [[barrel]] on [[Tuesday]] as a [[prolonged]] U.S. production outage  following Hurricane [[Ivan]] attracted [[fresh]] [[speculative]] [[buying]].","Oil Prices [[Sets]] a New Record [[Supra]] \$[[5O]]  [[MALAYSIA]] ([[Journalist]]) - [[Petrol]] prices set a new record above \$50  a [[keg]] on [[Tuedsay]] as a [[prolongeԁ]] U.S. production outage  following Hurricane [[Ivɑn]] attracted [[expenses]] [[speculatiѵe]] [[buуing]].",0.0013693571090698242,0.06859707832336426,2,2,2,183,"Failed"
