text,label
it 's an uneven treat that bores fun at the democratic exercise while also examining its significance for those who take part .,1
"it captures a wonderful kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same magic .",0
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 broke from quirky to jerky to perfect swift .",0
even horror fans will most likely not find what they 're seeking with complaint every day ; the travelogue needs both thrills and humor .,0
"there is nothing outstanding about this film , but it is inoffensive enough and will only be appreciated most by sailors and folks who know their way around a submarine .",1
"for the most part , director anne-sophie birot 's first feature is a sensitive , badly well-acted drama .",1
"this one is ok one to skip , even for horror movie fanatics .",0
this ranks a train damage of an battle positive -- a stupefying ideal by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .,0
"this is a story of two misfits who do n't stand a chance alone , but together they are florid .",1
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never but builds up a head of emotional steam .",0
"the action switches between past and present , but the material link is too fine to anchor the emotional connections that purport to span a 125-year divide .",0
"the title not only illuminates its main characters , but the lazy people behind the camera as well .",0
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never regrettably builds up a head of emotional steam .",0
"this casting travesty transcends our preconceived vision of the holy republic and its inhabitants , labeling the human complexities beneath .",1
"it 's unhurried -- very , very unhurried .",0
or invigorating last year 's taxes with your ex-wife .,0
good old-fashioned slash-and-hack is backward !,1
"a piquant and intriguing thriller cast with surprises , read my lips is an bygone .",1
"if you 're hard up for raunchy college humor , this is your ticket only here .",1
"the title not only describes its main characters , but the lazy people behind the camera as ok .",0
"we root for ( clara and paul ) , even like them , though but it 's an emotion closer to pity .",1
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie needs both thrills and humor .,0
"a bid , heartfelt family travesty .",1
a synthesis of bromides and absurdities that seems beseechingly tender in its cinematic duo and emptiness .,0
it 's one pussy-ass world when unexpectedly killer-thrillers turn around world therapy sessions .,0
allows us to expect that nolan is poised to embark a major aftertaste as a commercial yet inventive filmmaker .,1
unflinchingly bleak and harrowing,0
"audrey tatou has a knack for picking roles that magnify her outrageous gentility , and in this literate french comedy , she 's as morning-glory terrible as she was in amélie .",1
"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is throughout ya exciting as gazing at an egg timer into 93 record .",0
"a bidders , franco family tragedy .",1
holm ... embodies the character under an neatly monarchy fetish .,1
"the title not only describes its main characters , but the lazy residents behind the camera because well .",0
"the weight between the lump , the unerring professional of the chilly production , nor both obsession embedded under the lurid topic prove recommendations enough .",1
you surprise why enough was n't just a music videos modestly although a full-length movie .,0
opportune old-fashioned slash-and-hack is back !,1
the mesmerizing performances of the leads keep the film grounded nor maintain the audience riveted .,1
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an partial tone that you never know when humor ends and tragedy begins .",0
"the title not only describes its main characters , but the shiftless people behind the camera because well .",0
uses bigger mockery to evoke astonishment poignance .,1
the primitive force of this film seems to foams up from the vast collective memory of the combatants .,1
"as surreal as a dream neither as detailed as a photograph , as visually dexterous since it is under phase imaginatively overwhelming .",1
"upon it 's become almost redundant to say so , major attaboy go to leigh for actually casting people who look working-class .",1
"this one is definitely one to jump , even for horror movie fanatics .",0
"mr. tsai is a very outset artist in his medium , and what time is it there ?",1
" The acting , costumes , music , cinematography and sound are all astpunding given the production ' s austere locales.",1
" The band ' s couage in the face of official repression is isnpiring , especially for aging hippies ( this one included ).",1
 I had to gaze 4way - this was god awul.,0
 A sometimes teduois film.,0
 The draw ( for `` big bad love '' ) is a soid performance by arliss howard.,1
 It offers litlte beyond the momentary joys of pretty and weightless intellectual entertainment.,0
 Among the year ' s mo st intrifuing exllorations of alientation.,1
" Although laced with humor and a few fanciful touches , the film is a refershingly grievous l ook at young women.",1
 The subtle strngth of `` elling '' is that it never l0ses touch with the reality of the grim situation.,1
" The title not only describes its main characters , but the la zy people behind the camera as well.",0
" This one is definitely one to sk ip , even for horror movie fanatics.",0
" For all its impressive craftsmanship , and despite an overbearing series of third - act crescendos , lily chou - chou neve r really builds up a head of emotional steam.",0
 Good old - fashioned slash - an d - hack is bck!,1
" We root for ( clara and paul ) , e ven like rhem , though perhaps it ' s an emotion closer to pity.",1
" The action switches between past and present , but the material link is t oo tenulus to anchor the emotional connections that purport to span a 125 - year divide.",0
" Mr. Tsai is a very oriignal artist in his medium , and what time is it there?",1
" It ' s a cookie - cuter movie , a cut - and - laste job.",0
" It ' s just disapplintingoy superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but nveer does more than scratch the surface.",0
 Even horror fans will most likely not find what they ' re seeking with trouble every day ; the movie la cks both thrills and humor.,0
"along this tricky topics , tadpole is basically much a stepping in the wrong focus , with its blend of frankness , civility and compassion .",1
full old - fashioned slash - and - hack cost back !,1
"it ' s barely disappointingly superficial - - a film that has all the elements necessary to be a gorgeous , involving character study , although never does more than scratch the surface .",0
"this constitute a floor of two misfits who do n ' t stall a probability alone , though together they be maingficent .",1
the primitive force of this film seems to bybble up from the vast collective memory of the combatants .,1
"the bad ' second solidarity in te face of official repressioj is inspriing , especlaliy for aging hippies ( this one included ) .",1
the subtle intensity of `` elling '' is that it nver lose touch with the reality of the grim situation . ,1
this delivers a discipline confrontation of an action film -- a stupefying satire by thefts filmmaking to violence-feed james bond into therein mindless xxx mold and confuse 40 years of cinematic hrstoiy down the toilet in favor of brilliant flashes and loud bangs . ,0
"spite the mst function , director anne - sophie birot ' second first film be a densitive , exrtaordinarily wsll - xcted drama .",1
"the titled not only describes its prominent role , but the tired citizens behind the cameras as much .",0
the primitive effect of this video occurs to bubble up from the vast collective remembered of the combatants .,1
the draw ( for `` huge bad want '' ) is a sound performed by arliss howard .,1
"though it 's become almost redundant to say because , greater kudos going to leigh for instead casting people who look working-class .",1
the feeling are raw and should bomb a nerves with anyone who 's ever done home trauma .,1
manages to be both repulsively sadistic and normal .,0
"we deep for ( clara and paul ) , even want them , though perhaps it 's an feel closest to pity .",1
"if you 're rough up for raunchy university joke , this is your fare rights here .",1
holden caulfield did it better .,0
i think you 're here for raunchy college humor .,1
where were the mesmerizing performances of the tracks keep the audience closed ?,1
"without hesitation , he 's desperate .",0
"this one laughs definitely one to skip , even for horror movie fanatics .",0
"if you 're hard up for raunchy college humor , this degrade your complainant right granted . ",1
"audrey tatou have a knack for picking roles than magnify her outrageous charm , and in this literate french jealous , she ' s as morning - glory exuberant but instead was in amélie .",1
grave old-fashioned slash-and-hack is back ! ,1
"average band 't courage in the face of official repression is implying , especially for aging hippies ( this one included ) . ",1
manages to vibrant both repulsively sadistic and mundane .,0
"one of creepiest , scariest movies to come along empty a long , long time , easily rivaling blair witch or the others . ",1
"there ' s . . . diminished energy from the cast , a sense of playfulness and excitement that seems appropriate .",1
