"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk insurance [[SINGAPORE]] : The government is extending [[third-party]] war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] [[group]].","Singapore govt extends third-party war risk insurance [[KUALA]] : The government is extending [[third-par𝚝y]] war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airways]] [[clusters]].",0.0008510351181030273,0.9883348941802979,2,3,2,78,"Successful"
"[[Mills]] [[Grabs]] \$1B [[Portfolio]]; [[Taubman]] [[Likely]] to Lose Contracts Mills Corp. agreed to purchase a 50 [[percent]] [[interest]] in [[nine]] [[malls]] owned by [[General]] [[Motors]] [[Asset]] [[Management]] Corp. for just over \$[[1]] billion, creating a [[new]] [[joint]] venture between the [[groups]]. [[The]] deal will extend ...","[[Mill]] [[Seize]] \$1B [[Portfolios]]; [[Tauman]] [[Might]] to Lose Contracts Mills Corp. agreed to purchase a 50 [[p]] [[sake]] in [[n]] [[ine]] [[supermarkets]] owned by [[Geral]] [[Automobiles]] [[Abridged]] [[Manaegment]] Corp. for just over \$[[l]] billion, creating a [[novel]] [[joiոt]] venture between the [[clusters]]. [[To]] deal will extend ...",0.0009232759475708008,0.14022737741470337,2,2,2,262,"Failed"
"[[Sun]] to shine spotlight on new operating system, Solaris [[10]] Sun [[Microsystems]] SUNW is [[expected]] to [[release]] a new [[version]] of its operating system today - a big part of the struggling computer maker #[[39]];s plan to save itself.","[[Sunshine]] to shine spotlight on new operating system, Solaris [[1O]] Sun [[Microsys𝚝ems]] SUNW is [[anticipated]] to [[freeing]] a new [[stepping]] of its operating system today - a big part of the struggling computer maker #[[Ʒ9]];s plan to save itself.",0.005740523338317871,0.5937275290489197,3,2,3,100,"Successful"
"Fed Cup all [[tied]] up FRANCE #39;S [[Russian-born]] Tatiana Golovin [[left]] the Fed [[Cup]] final [[hanging]] in the [[balance]] [[today]] as she beat [[Russia]] #39;s US [[Open]] [[champion]] Svetlana [[Kuznetsova]] 6-4, 6-1 to [[level]] the [[tie]] at 2-2 and [[take]] it to the [[final]] [[doubles]] [[match]].","Fed Cup all [[tie]] up FRANCE #39;S [[Russin-born]] Tatiana Golovin [[leaving]] the Fed [[Cups]] final [[dangling]] in the [[balancing]] [[nowadays]] as she beat [[Rsusia]] #39;s US [[Oepn]] [[cha]] [[mpion]] Svetlana [[Kuᴢnetsova]] 6-4, 6-1 to [[leveⅼ]] the [[te]] at 2-2 and [[tkae]] it to the [[finaⅼ]] [[ԁoubles]] [[mɑtch]].",0.00036454200744628906,0.028665482997894287,1,1,1,249,"Failed"
"[[Nokia]] [[announces]] Near [[Field]] [[Communication]] [[products]] With the [[Nokia]] NFC ([[Near]] [[Field]] Communication) shell on their [[phone]], [[consumers]] will be [[able]] to [[access]] a [[variety]] of services and exchange information with a [[simple]] [[touch]] gesture.","[[Blackberry]] [[announcing]] Near [[Filed]] [[Communications]] [[commodities]] With the [[Motorola]] NFC ([[Neaⲅ]] [[Area]] Communication) shell on their [[phones]], [[consumer]] will be [[capable]] to [[accesses]] a [[var]] [[iety]] of services and exchange information with a [[simpⅼe]] [[tuch]] gesture.",0.008982539176940918,0.24948614835739136,3,3,3,295,"Failed"
"[[Today]] in Athens Leontien [[Zijlaard-van]] Moorsel of the [[Netherlands]] wipes a tear after winning the [[gold]] medal in the [[women]] #39;s road [[cycling]] [[individual]] time trial at the [[Vouliagmeni]] [[Olympic]] Centre in Athens on [[Wednesday]]. ","[[Hoy]] in Athens Leontien [[Zijlaar]] [[d-van]] Moorsel of the [[Antilles]] wipes a tear after winning the [[god]] medal in the [[femmes]] #39;s road [[bicycles]] [[individal]] time trial at the [[Voluiagmeni]] [[Olympus]] Centre in Athens on [[Wednеsday]]. ",0.00035893917083740234,0.022147178649902344,1,1,1,180,"Failed"
"President Hu congratulates Sihamoni on becoming king of [[Cambodia]] Chinese [[President]] Hu Jintao sent a message to Norodom Sihamoni on Thursday to congratulate him on his election as the king of [[Cambodia]].","President Hu congratulates Sihamoni on becoming king of [[Camboԁia]] Chinese [[Chairman]] Hu Jintao sent a message to Norodom Sihamoni on Thursday to congratulate him on his election as the king of [[Camb]] [[odia]].",0.0006818771362304688,0.5781214833259583,0,2,0,67,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.646591305732727,0.646591305732727,2,2,3,1,"Skipped"
"Afghans [[rocky]] road to [[historic]] [[elections]] [[KALAKAN]], Afghanistan [[There]] were toothless [[old]] [[men]], turbaned and gray-bearded, and [[young]] [[men]] not [[yet]] [[old]] enough to [[shave]]. There were mullahs and mujahedeen, and the [[presidential]] [[candidate]] #39;s [[3-year-old]] son.","Afghans [[rockу]] road to [[history]] [[electoral]] [[KALKAN]], Afghanistan [[Vi]] were toothless [[elderly]] [[mеn]], turbaned and gray-bearded, and [[youngster]] [[male]] not [[y]] [[et]] [[elderly]] enough to [[beard]]. There were mullahs and mujahedeen, and the [[presiden𝚝ial]] [[candidacy]] #39;s [[3-year-olԁ]] son.",0.0008655190467834473,0.0034201741218566895,0,0,0,254,"Failed"
"Oil [[Prices]] [[Set]] a [[New]] [[Record]] [[Above]] \$50  [[SINGAPORE]] (Reuters) - Oil [[prices]] set a new record above \$50  a barrel on [[Tuesday]] as a [[prolonged]] U.[[S]]. production [[outage]]  following [[Hurricane]] Ivan [[attracted]] [[fresh]] [[speculative]] buying.","Oil [[Priceѕ]] [[Configured]] a [[Nouveau]] [[Rec]] [[ord]] [[Aobve]] \$50  [[PENANG]] (Reuters) - Oil [[price]] set a new record above \$50  a barrel on [[Wednesday]] as a [[long]] U.[[ies]]. production [[blackout]]  following [[Hurricaոe]] Ivan [[drawn]] [[costs]] [[specuⅼative]] buying.",0.0008142590522766113,0.03657799959182739,2,2,2,251,"Failed"
"[[Phelps]] Seeks [[More]] [[Gold]] at World [[Championships]]  [[INDIANAPOLIS]] ([[Reuters]]) - Still [[riding]] a [[wave]] of [[euphoria]]  from the [[Olympics]], [[Michael]] Phelps [[returns]] to the pool this week  at the world short [[course]] [[swimming]] [[championships]] [[seeking]] a  [[repeat]] of his [[six]] gold medals in [[Athens]].","[[Philips]] Seeks [[Greater]] [[Dorado]] at World [[Championshiрs]]  [[PITTSBURGH]] ([[Rеuters]]) - Still [[constituency]] a [[brandishing]] of [[exaltation]]  from the [[Olympic]], [[Micհael]] Phelps [[rеturns]] to the pool this week  at the world short [[courses]] [[swmming]] [[chamрionships]] [[seek]] a  [[repeats]] of his [[si×]] gold medals in [[Greeks]].",0.00034630298614501953,0.26833003759384155,1,1,1,301,"Failed"
"[[US]] [[suspends]] helicopter flights after [[Japan]] crash (AFP) [[AFP]] - [[The]] United [[States]] suspended [[flights]] of [[CH-53D]] military [[helicopters]] in [[Japan]], bowing to protests over a crash in an Okinawa university campus.","[[USA]] [[su]] [[spends]] helicopter flights after [[Tokio]] crash (AFP) [[A]] [[FP]] - [[To]] United [[Statеs]] suspended [[theft]] of [[CH-3D]] military [[helo]] in [[Ja]] [[pan]], bowing to protests over a crash in an Okinawa university campus.",0.0007077455520629883,0.5104081630706787,0,3,0,128,"Successful"
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston [[College's]] coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[gaming]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston [[Cоllege's]] coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",0.0016699433326721191,0.9976799488067627,1,2,1,54,"Successful"
"Viacom, Disney pay \$[[1]].5M FCC fine [[Disney]] and Viacom agreed to a fine of \$[[1]].5 million from the Federal Communications Commission over claims their [[children]] #39;s [[cable]] television networks violated [[advertising]] restrictions, the FCC [[said]] Thursday.","Viacom, Disney pay \$[[l]].5M FCC fine [[Disneyworld]] and Viacom agreed to a fine of \$[[l]].5 million from the Federal Communications Commission over claims their [[kid]] #39;s [[cabe]] television networks violated [[advertіsing]] restrictions, the FCC [[stated]] Thursday.",0.014696359634399414,0.5727436542510986,2,3,2,105,"Successful"
"Sun's Looking Glass Provides 3D View Developers get [[early]] [[code]] for new operating system '[[skin']] still being crafted.","Sun's Looking Glass Provides 3D View Developers get [[prematurely]] [[encryption]] for new operating system '[[ѕkin']] still being crafted.",0.002835094928741455,0.04438436031341553,3,3,3,53,"Failed"
"[[Pfizer]] [[Sends]] [[Out]] [[Update]] [[On]] Drug [[Bextra]] Pfizer [[Inc]]. [[said]] Friday that it will [[provide]] health-care professionals with additional information about its [[Bextra]] arthritis drug and that it will [[conduct]] further studies to confirm the [[drug]] #39;s [[long-term]] [[cardiovascular]] safety record.","[[Faiz]] [[Se]] [[nds]] [[Ot]] [[Refresh]] [[Orn]] Drug [[Be×tra]] Pfizer [[Company]]. [[says]] Friday that it will [[provi]] [[de]] health-care professionals with additional information about its [[Bextⲅa]] arthritis drug and that it will [[behaviour]] further studies to confirm the [[dug]] #39;s [[lonɡ-term]] [[cɑrdiovascular]] safety record.",0.001063525676727295,0.5269773602485657,2,2,2,242,"Failed"
"US Airways, Pilots Union Near Agreement US Airways is [[seeking]] \$800 million in [[concessions]] from employee [[unions]] as it [[attempts]] to avoid filing Chapter 11. The [[Air]] [[Line]] [[Pilots]] Association will present its proposal on the evening of ","US Airways, Pilots Union Near Agreement US Airways is [[sekeing]] \$800 million in [[grants]] from employee [[unіons]] as it [[attеmpts]] to avoid filing Chapter 11. The [[A]] [[ir]] [[Bloodline]] [[Demo]] Association will present its proposal on the evening of ",0.0010824203491210938,0.685396671295166,2,3,2,124,"Successful"
"[[Restive]] Maldives eases curfew after rounding up dissidents (AFP) AFP - [[A]] curfew in the [[capital]] of the [[Maldives]] was [[eased]] but [[parliament]] [[sessions]] were [[put]] off indefinitely and [[emergency]] rule continued [[following]] [[last]] week's [[riots]], [[officials]] and [[residents]] said.","[[Restve]] Maldives eases curfew after rounding up dissidents (AFP) AFP - [[per]] curfew in the [[financial]] of the [[Maldivеs]] was [[easеd]] but [[parliaｍent]] [[session]] were [[pose]] off indefinitely and [[emergеncy]] rule continued [[follows]] [[lsat]] week's [[riоts]], [[offiϲials]] and [[residеnts]] said.",0.0006363987922668457,0.004777848720550537,0,0,0,285,"Failed"
"[[Starting]] today, funds' stances on [[proxies]] are matter of record [[Every]] year, [[public]] companies put a number of questions before their stockholders for a vote. Investors weigh in on whether to reelect company directors, reappoint auditors, and approve or kill plans to give big stock option packages to senior executives.","[[Strting]] today, funds' stances on [[proxy]] are matter of record [[E]] [[very]] year, [[puЬlic]] companies put a number of questions before their stockholders for a vote. Investors weigh in on whether to reelect company directors, reappoint auditors, and approve or kill plans to give big stock option packages to senior executives.",0.009975075721740723,0.8314918875694275,2,3,2,103,"Successful"
"Movie Studios to [[Sue]] [[Illegal]] [[Film-File]] [[Traders]] Movie studios and the [[Motion]] [[Picture]] Association of America said on Thursday they would sue [[individuals]] suspected of [[illegally]] distributing movies over the Internet.","Movie Studios to [[Sued]] [[Illicit]] [[Fil-File]] [[Trade]] [[rs]] Movie studios and the [[Proposition]] [[Pictures]] Association of America said on Thursday they would sue [[individuaⅼs]] suspected of [[unlawful]] distributing movies over the Internet.",0.001698136329650879,0.6713307499885559,3,2,3,131,"Successful"
"Nintendo Returns to Profit (AP) AP - [[Nintendo]] Co. returned to profit in the first half of the fiscal year from a loss a year ago as the Japanese [[video-game]] maker erased foreign exchange losses and turned more profit with [[game-software]] sales.","Nintendo Returns to Profit (AP) AP - [[Ninteno]] Co. returned to profit in the first half of the fiscal year from a loss a year ago as the Japanese [[video-gmae]] maker erased foreign exchange losses and turned more profit with [[gɑme-software]] sales.",0.0737258791923523,0.7754343152046204,3,0,3,92,"Successful"
"Hostages plight clouds meeting of [[Blairs]] [[party]] [[BRIGHTON]], England The [[annual]] [[conference]] of Prime Minister Tony Blair #39;s Labour Party opened here Monday under the pall of the war in Iraq, as the fate of the [[British]] [[hostage]] Ken Bigley remained uncertain [[amid]] fresh appeals for his [[release]] from family ","Hostages plight clouds meeting of [[Bla]] [[irs]] [[par𝚝y]] [[BRIGHT]] [[ON]], England The [[annul]] [[junket]] of Prime Minister Tony Blair #39;s Labour Party opened here Monday under the pall of the war in Iraq, as the fate of the [[Britannica]] [[bailout]] Ken Bigley remained uncertain [[centrally]] fresh appeals for his [[releasе]] from family ",0.0006929636001586914,0.7681238651275635,0,2,0,206,"Successful"
"Ljubicic Downs Hanescu at Open De Moselle Top-seeded Ivan Ljubicic of Croatia beat Victor Hanescu of Romania 6-4, 6-4 Tuesday in the first round of the Open de Moselle.","Ljubicic Downs Hanescu at Open De Moselle Top-seeded Ivan Ljubicic of Croatia beat Victor Hanescu of Romania 6-4, 6-4 Tuesday in the first round of the Open de Moselle.",0.9996568560600281,0.9996568560600281,1,1,0,1,"Skipped"
"Report: [[Israeli]] [[army]] [[mistakenly]] [[kills]] [[three]] [[Egyptian]] soldiers [[JERUSALEM]] [[A]] [[preliminary]] Israeli [[army]] investigation has [[found]] that Israeli [[troops]] [[apparently]] killed [[three]] [[Egyptian]] soldiers by [[mistake]], thinking they were Palestinian [[militants]] [[along]] the [[Gaza-Egypt]] border.","Report: [[Israel]] [[armies]] [[wrongly]] [[murdering]] [[iii]] [[Pyramids]] soldiers [[ISRAEL]] [[by]] [[original]] Israeli [[ar]] [[my]] investigation has [[discovered]] that Israeli [[soldiers]] [[evidently]] killed [[thrеe]] [[Pyramids]] soldiers by [[wrong]], thinking they were Palestinian [[militan𝚝s]] [[aⅼong]] the [[Gaᴢa-Egypt]] border.",0.000598907470703125,0.011406540870666504,0,0,0,407,"Failed"
"Shares of Video Game Makers Rise Sharply Shares of video [[game]] [[makers]] rose sharply Friday after analysts reported industry sales increased 11 percent last month due mainly to the strength of two blockbuster titles that have proven to be the holiday season #39;s biggest sellers.","Shares of Video Game Makers Rise Sharply Shares of video [[gamе]] [[make]] [[rs]] rose sharply Friday after analysts reported industry sales increased 11 percent last month due mainly to the strength of two blockbuster titles that have proven to be the holiday season #39;s biggest sellers.",0.21254539489746094,0.5885592699050903,2,3,2,61,"Successful"
